content
72,"User friendly untuk fitur di jobstreet cuma tdk berhasil, kebanyakan saya ngelamar yg tembus dr email. Bukan job portal.."
73,"Terbaik, dengan aplikasi ini saya sudah mendapatkan pekerjaan walaupun penempatan diluar daerah tapi saya menikmati pekerjaan saya"
74,Sangat membantu walauoun sampai dengan saat ini selalu mendapat pesan lamarannya sudah kadaluarsa
75,"MASIH BAGUS SEBELUM DI UPDATE. KEKURANGAN SETELAH DI UPDATE: 1. UI APLIKASI BAIK DI PC (LAPTOP) ATAU DI HP JELEK. TIDAK ADA RANGE SALARY LG, TERUS HARUS LAMPIRKAN SURAT LAMARAN, SEDANGKAN DULU CUKUP CV SAJA. 2. PROSES LAMARAN DILIHAT PERUSAHAAN / TIDAK LOLOS TIDAK MENARIK. 3. SAAT CARI LOWONGAN KERJA TIDAK TERLIHAT RANGE GAJI. JADI KITA TIDAK TAHU APA ITU SESUAI GAJI YG KITA HARAPKAN ATAU TIDAK. APLIKASI SEKARANG KURANG TRANSPARAN LEBIH KE PRIVASI SEMUA GITU !!!!!"
76,bagus untuk membantu mencari pekerjaan namun sudah 5 bulan melamar hasilnya kok lamaran di tutup terus 🤣🤣🤣
77,Banyak diakses sama perusahaan² penipuan.. apa ga ada penyortiran akurat? Saya hampir 2x kena sama perusahaan bodong..
78,Ga jelas banget appnya. Login ga bisa2 mulu euy mending buka pake web dah. Sorry gw delete lagi. App ga guna
79,"Apk membantu mempermudah untuk menemukan pekerjaan, sangat rekomendasi"
80,Sdh di filter. Sudah lamar pekerjaan. Mau kembali malah ilang filternya.
81,Mau tanya dah buat yang sekarang/baru baru ini pernah dapet kerja gak lewat apk ini? Kok saya yang ada penipu mulu yang hubungin ya terus belum pernah juga dapet dari sini dahhhh
82,Udah ratusan kali melamar..tp sampai saat ini belum ada yang tembus hanya sebatas di lihat oleh perusahaan lalu tidak di lanjutkan dan berakhir begitu saja atau kadaluarsa..masih belum ada rejekinya sampai sekarang
83,Aplikasi yang sangat bermanfaat membantu memudahkan mencari pekerjaan
84,"Sudah beda ga kaya dulu, data nya sering bocor dpt panggilan ga jelas padahal ga pernah ngelamar🥲"
85,tolong di filter lagi bagi perusahaan yang membuka lowongan. saya udah dapet lebih dari 3x lowongan penipuan. thanks
86,"Banyak info loker ga jelas, dapet panggilan interview padahal ga pernah lamar di perusahaan tersebut pas di cek nama perusahaannya di maps dan google ga nemu"
87,Saya kasi bintang 5 buat anda yg punya kreatifitas membuat aplikasi ini.. Masi baru donlud..semoga berhasil mendapatkan pekerjaan lewat aplikasi ini
88,Aplikasi payah....!!!!! susah login ga sprti sebelum di up date
89,"Saran aja nih buat admin Jobstreet, untuk perusahaan yang tidak terdaftar di Departemen Tenaga Kerja (Depnaker) mohon untuk dikeluarkan saja dari aplikasi ini dikarenakan cenderung menghubungi pelamar lewat WA bukan menelpon secara langsung, dan ketika didatangi ternyata perusahaannya hanya berupa ruko kecil dan nama PT nya pun hanya ditempel di pintu kaca nya"
90,"Aplikasi tidak berguna, semua loker expired. Jangan di download!"
91,"selalu terjadi kebocoran data,ini terbukti selalu dapat pesan wa dari PT B padahal saya hanya melamar di PT A. ini bukti jelas bahwa data saya bocor ke oknum ga bertanggung jawab,lebih baik ditingkatkan dan hanya perusahaan valid yang bisa mengakses data pengguna/pencari kerja."
92,Aplikasi yang sangat bagus dan rekomended bgt dalam mencari pekerjaan apalagi dalam tampilan terbarunya yang makin mempermudah pengguna nya dalam hal mencari pekerjaan☺️ sukses selalu untuk jobstreet🤗🤗
93,"Aplikasi bagus selalu update pekerjaan, tetapi sangat di sayangkan setiap melamar pekerjaan, tetapi tidak pernah ada panggilan sekalipun, hanya dilihat perusahaan terus tiba tiba perusahaan nya tutup, begitu seterusnya. Padahal setiap lamaran yg saya kirim saya selalu revisi mulai dari CV saya dan surat lamaran saya, tetapi tidak ada panggilan sekalipun dari aplikasi ini. Terimakasih"
94,Sangat membantu. Tetapi tolong klo pembaruan. Jangan di buat bingung. Klo bisa lbih di permudah agar user bisa membukanya dan tertera jelas. Dan tolong untuk email-nya juga di perceat
95,"Lumayan ngebantu. Tapi adakah filter untuk perusahaan fiktif di antara yang masuk di email atau WA saya sering sekali prusahaan engga jelas. Yang proses interviewnya dimintakan uang untuk bla bla bla. Saya heran, kita semua cerdas lah yah bagaimana nanti cara menghadapinya. Go ahead para pencari kerja Tuhan bersama kita."
96,Appnya bagus dan sangat mudah utk mencari pekerjaan tp sayang bnyk penipuan yg mengatasnamakan PT atau perusahaan2 lainnya dan bnyk PT atau perusahaan2 yg sudah lama tutup dan tidak membuka loker jdi tlng di prbaikin dan ditingkatkan lgi utk app jobstreet ini Trimakasih!!!
97,"Terimakasih aplikasi nya sudah upload banyak lowongan penipuan, terlebih bagian pabrik dan pergudangan ampir 80% penipuan tolong buat developer di seleksi dulu lowongan nya, sering dapat panggilan beda alamat pas di cari tau alamat tidak tertera"
98,"Sebenarnya ini aplikasi yang bagus dan sangat membantu, tapi setelah di update pencarian pekerjaanya malah tidak sesuai dengan filter yang sudah di atur"
99,"Jobstreet emang keterlaluan ya, aplikasi tidak guna, sebelumnya gua uda ngoceh perihal aplikasi ini g logis aja 100 lamaran g ada yg nyantol cuma 1 yang nyantol buat interview itu juga bodong, paling lucunya lagi masa pencarian perusahaan tersebut sudah tidak membutuhkan eh nonggol lagi donk di posisi yg sama, dan gua coba ada iseng eh masih sama donk pencairan perusahaan tersebut sudah tidak membutuhkan, lucu nya lagi dia masih nonggol, jobstreet tidak berguna!!!!!!"
100,"Dari awal apply belum pernah dapat panggilan, jangan kan panggilan kadang lamaran blm dibaca tiba2 udh tutup karena status yg ga berubah, padahal ngelamar sesuai dgn pengalaman. Tp mgkn blik lg ke rezeki msng2. Sy share loker dr jobstreet bwt temen, dia lgsg di panggil. Di perusahaan yg sy apply juga. Padahal sama2 pengalaman di bidang yg sama. Entah deh kenapa"
101,"""Menarik melihat berbagai pengalaman dan tips yang dibagikan di sini! Saya juga ingin berkontribusi dengan menyarankan agar kita semua tetap terbuka terhadap peluang karier yang mungkin di luar bidang atau industri utama kita. Siapa tahu, terkadang peluang terbaik datang dari tempat yang tidak terduga! 😊"""
102,Banyak sekali kekurangan dari aplikasi ini. pembaruan apl yang gagal total.. pembaruan dengan banyak kemunduran. semakin mempersulit pencari kerja..
103,"Aplikasi mudah digunakan, tetapi banyak perusahaan yg terdaftar abal2. Gampang menipu org yg awam, minta uang 800rb diawal iming2 agar segera diterima kerja. Tolong min, jangan asal daftarkan perusahaan sembarang, kasian yg sedang butuh pekerjaan, tapi ujung2 nya ditipu. Semoga lebih baik lagi aplikasi ini"
104,"Aplikasi pencari kerja yang ok banget, tampilannya eye catching, user friendly dan ada rekomendasi pekerjaan yang sesuai dengan cv kita, pokoknya mantap banget deh!"
105,"Maaaf saya kasih bintang 1, entah kenapa disaat di upgrade malah yang kebanyakan perusahaan Bodong dan gak ada panggilan.Padahal untuk versi lama sering ada panggilan. Semoga membantu saran saya."
106,"Pas mau resume upload malah suruh pilih dua pilihan telpon/SIM card pas mencet SIM card malah ke apus, makin aneh. Orang mah kasih pilihan biar bisa buka wps ini malah aneh"
